dataset_folder,model_folder,run_name,condition,improvement_over_none
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,0.053354
rawmaltf,densenet121,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,0.061547
rawmaltf,densenet121,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,0.053354
rawmaltf,densenet121,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,0.061547
rawmaltf,densenet121,densenet121_seed42_none,none,0
rawmaltf,densenet121,densenet121_seed42_random_M4_area0.1,random M4,0.051611
rawmaltf,densenet121,densenet121_seed42_random_M8_area0.1,random M8,0.050563
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,0.054715
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,0.073334
rawmaltf,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,0.054715
rawmaltf,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,0.073334
rawmaltf,resnet18,resnet18_seed42_none,none,0
rawmaltf,resnet18,resnet18_seed42_random_M4_area0.1,random M4,0.058022
rawmaltf,resnet18,resnet18_seed42_random_M8_area0.1,random M8,0.066747
